relation,type,run,source_num_parameters,follow_num_parameters,source_depth,follow_depth,delta_E,avg_energy_diff,max_energy_diff,avg_sym_diff,max_sym_diff,avg_param_diff,max_param_diff,trace_len,violation
barrier,valid,26,48,48,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
barrier,valid,27,48,48,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
barrier,valid,28,48,48,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
barrier,valid,29,48,48,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
barrier,valid,30,48,48,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
identity_xx,valid,1,48,48,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
identity_xx,valid,2,48,48,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
identity_xx,valid,3,48,48,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
identity_xx,valid,4,48,48,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
identity_xx,valid,5,48,48,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
identity_xx,valid,6,48,48,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
identity_xx,valid,7,48,48,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
identity_xx,valid,8,48,48,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
identity_xx,valid,9,48,48,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
identity_xx,valid,10,48,48,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
identity_xx,valid,11,48,48,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
identity_xx,valid,12,48,48,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
identity_xx,valid,13,48,48,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
identity_xx,valid,14,48,48,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
identity_xx,valid,15,48,48,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
identity_xx,valid,16,48,48,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
identity_xx,valid,17,48,48,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
identity_xx,valid,18,48,48,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
identity_xx,valid,19,48,48,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
identity_xx,valid,20,48,48,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
identity_xx,valid,21,48,48,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
identity_xx,valid,22,48,48,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
identity_xx,valid,23,48,48,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
identity_xx,valid,24,48,48,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
identity_xx,valid,25,48,48,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
identity_xx,valid,26,48,48,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
identity_xx,valid,27,48,48,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,False
