test_id,relation,type,tvd,p_value,violation,expected_violation
20,fault_add_x,fault,0.0044,0.7743,False,True
20,fault_remove_random,fault,0.0052,0.6995,False,True
20,fault_change_target_qubit,fault,0.004,0.8368,False,True
21,identity,valid,0.0038,0.4532,False,
21,barrier,valid,0.0034,0.4965,False,
21,commute,valid,0.002,0.7039,False,
21,fault_add_x,fault,1.0,0.0,True,True
21,fault_remove_random,fault,0.504,0.0,True,True
21,fault_change_target_qubit,fault,0.5053,0.0,True,True
22,identity,valid,0.0027,0.5961,False,
22,barrier,valid,0.002,0.6965,False,
22,commute,valid,0.0046,0.3681,False,
22,fault_add_x,fault,1.0,0.0,True,True
22,fault_remove_random,fault,0.7522,0.0,True,True
22,fault_change_target_qubit,fault,1.0,0.0,True,True
23,identity,valid,0.0074,0.1416,False,
23,barrier,valid,0.005,0.3271,False,
23,commute,valid,0.0102,0.0424,True,
23,fault_add_x,fault,1.0,0.0,True,True
23,fault_remove_random,fault,1.0,0.0,True,True
23,fault_change_target_qubit,fault,1.0,0.0,True,True
24,identity,valid,0.0048,0.8176,False,
24,barrier,valid,0.0069,0.4142,False,
24,commute,valid,0.0127,0.0364,True,
24,fault_add_x,fault,0.0108,0.0793,False,True
24,fault_remove_random,fault,0.0038,0.8082,False,True
24,fault_change_target_qubit,fault,0.0106,0.1263,False,True
25,identity,valid,0.0089,0.6428,False,
25,barrier,valid,0.0123,0.3403,False,
25,commute,valid,0.0066,0.9175,False,
25,fault_add_x,fault,0.0144,0.0374,True,True
25,fault_remove_random,fault,0.0131,0.2064,False,True
25,fault_change_target_qubit,fault,0.5057,0.0,True,True
26,identity,valid,0.0111,0.3451,False,
26,barrier,valid,0.0154,0.0764,False,
26,commute,valid,0.0137,0.1209,False,
26,fault_add_x,fault,1.0,0.0,True,True
26,fault_remove_random,fault,0.5,0.0,True,True
26,fault_change_target_qubit,fault,0.7516,0.0,True,True
27,identity,valid,0.0101,0.0434,True,
27,barrier,valid,0.0076,0.131,False,
27,commute,valid,0.0018,0.7188,False,
27,fault_add_x,fault,1.0,0.0,True,True
27,fault_remove_random,fault,0.5057,0.0,True,True
27,fault_change_target_qubit,fault,0.7486,0.0,True,True
28,identity,valid,0.0046,0.7989,False,
28,barrier,valid,0.006,0.6413,False,
28,commute,valid,0.0093,0.3129,False,
28,fault_add_x,fault,1.0,0.0,True,True
28,fault_remove_random,fault,0.5077,0.0,True,True
28,fault_change_target_qubit,fault,0.5027,0.0,True,True
29,identity,valid,0.003,0.5552,False,
29,barrier,valid,0.0058,0.2501,False,
29,commute,valid,0.004,0.4354,False,
29,fault_add_x,fault,0.004,0.4237,False,True
29,fault_remove_random,fault,0.0077,0.126,False,True
29,fault_change_target_qubit,fault,0.7515,0.0,True,True
30,identity,valid,0.0084,0.3633,False,
30,barrier,valid,0.0069,0.498,False,
30,commute,valid,0.0075,0.4261,False,
30,fault_add_x,fault,0.0031,0.9062,False,True
30,fault_remove_random,fault,0.501,0.0,True,True
30,fault_change_target_qubit,fault,0.7514,0.0,True,True
31,identity,valid,0.0017,0.749,False,
31,barrier,valid,0.0018,0.7263,False,
31,commute,valid,0.0027,0.6031,False,
31,fault_add_x,fault,1.0,0.0,True,True
31,fault_remove_random,fault,0.5017,0.0,True,True
31,fault_change_target_qubit,fault,1.0,0.0,True,True
32,identity,valid,0.0131,0.2906,False,
32,barrier,valid,0.0091,0.7053,False,
32,commute,valid,0.0112,0.4365,False,
32,fault_add_x,fault,0.0115,0.5155,False,True
