relation,type,tests,violations,violation_rate,avg_tvd,avg_p,max_tvd
barrier,valid,200,10,5.0,0.0057,0.5736,0.0226
commute,valid,200,11,5.5,0.0058,0.5747,0.0204
fault_add_x,fault,200,128,64.0,0.6231,0.1842,1.0
fault_change_target_qubit,fault,200,122,61.0,0.4682,0.2449,1.0
fault_remove_random,fault,200,144,72.0,0.5195,0.169,1.0
identity,valid,200,5,2.5,0.0056,0.5832,0.0191
