phase,relation,type,run,num_qubits,reps,maxiter,shots,optimizer,oracle_variant,noise_model,energy_threshold,symmetry_threshold,param_threshold,random_seed,pair_seed,transform_seed,hamiltonian_symmetry_commute,source_num_parameters,follow_num_parameters,source_depth,follow_depth,delta_E,avg_energy_diff,max_energy_diff,avg_sym_diff,max_sym_diff,avg_param_diff,max_param_diff,trace_len,energy_violation,symmetry_violation,violation
shot_based,identity_xx,valid,10,4,5,60,2048,SPSA,energy_only,none,0.05,0.01,inf,42,100009,1009,True,48,48,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257,False,False,False
shot_based,fault_x,fault,1,4,5,60,2048,SPSA,energy_only,none,0.05,0.01,inf,42,100000,1000,True,48,48,33,34,0.20605469,0.21698117,0.89990234,0.10078353,0.7421875,1.23458531,2.11485335,257,True,True,True
shot_based,fault_x,fault,2,4,5,60,2048,SPSA,energy_only,none,0.05,0.01,inf,42,100001,1001,True,48,48,33,33,1.18994141,1.30234299,1.875,1.27117659,1.87988281,0.7899777,1.34947201,257,True,True,True
shot_based,fault_x,fault,3,4,5,60,2048,SPSA,energy_only,none,0.05,0.01,inf,42,100002,1002,True,48,48,33,33,0.27587891,0.28230446,1.12402344,0.10063534,0.5546875,1.25490918,2.15689141,257,True,True,True
shot_based,fault_x,fault,4,4,5,60,2048,SPSA,energy_only,none,0.05,0.01,inf,42,100003,1003,True,48,48,33,34,2.83447266,3.0911775,3.96533203,2.87618935,3.96191406,1.79336688,2.75169505,257,True,True,True
shot_based,fault_x,fault,5,4,5,60,2048,SPSA,energy_only,none,0.05,0.01,inf,42,100004,1004,True,48,48,33,33,0.03564453,0.15976866,0.77294922,0.09792984,0.68554688,0.94773095,1.67701317,257,False,True,False
shot_based,fault_x,fault,6,4,5,60,2048,SPSA,energy_only,none,0.05,0.01,inf,42,100005,1005,True,48,48,33,34,3.19824219,3.1901371,3.95507812,2.95075009,3.95214844,0.94435768,1.63357393,257,True,True,True
shot_based,fault_x,fault,7,4,5,60,2048,SPSA,energy_only,none,0.05,0.01,inf,42,100006,1006,True,48,48,33,33,0.078125,0.17055265,1.27001953,0.11018057,0.81933594,1.31081147,2.17694908,257,True,True,True
shot_based,fault_x,fault,8,4,5,60,2048,SPSA,energy_only,none,0.05,0.01,inf,42,100007,1007,True,48,48,33,34,0.15332031,0.24138953,1.04785156,0.0860591,0.47753906,0.83436069,1.64323501,257,True,True,True
shot_based,fault_x,fault,9,4,5,60,2048,SPSA,energy_only,none,0.05,0.01,inf,42,100008,1008,True,48,48,33,34,2.984375,3.1771986,3.94287109,3.04807575,3.8984375,0.9201826,1.7234453,257,True,True,True
shot_based,fault_x,fault,10,4,5,60,2048,SPSA,energy_only,none,0.05,0.01,inf,42,100009,1009,True,48,48,33,33,0.21533203,0.21189126,0.859375,0.09247705,0.74414062,1.1560825,1.94011389,257,True,True,True
shot_based,fault_replace_rot,fault,1,4,5,60,2048,SPSA,energy_only,none,0.05,0.01,inf,42,100000,1000,True,48,48,33,33,0.01025391,0.04051594,0.27099609,0.03159959,0.27636719,0.37723128,0.66135435,257,False,True,False
shot_based,fault_replace_rot,fault,2,4,5,60,2048,SPSA,energy_only,none,0.05,0.01,inf,42,100001,1001,True,48,48,33,33,0.02929688,0.04351593,0.24316406,0.03411889,0.19433594,0.08248601,0.20258116,257,False,True,False
shot_based,fault_replace_rot,fault,3,4,5,60,2048,SPSA,energy_only,none,0.05,0.01,inf,42,100002,1002,True,48,48,33,33,0.00390625,0.02726585,0.12255859,0.0208346,0.10351562,0.09465226,0.31000192,257,False,True,False
shot_based,fault_replace_rot,fault,4,4,5,60,2048,SPSA,energy_only,none,0.05,0.01,inf,42,100003,1003,True,48,48,33,33,0.04589844,0.06530809,0.42871094,0.04185539,0.29882812,0.6232489,1.08492133,257,False,True,False
shot_based,fault_replace_rot,fault,5,4,5,60,2048,SPSA,energy_only,none,0.05,0.01,inf,42,100004,1004,True,48,48,33,33,0.10253906,0.08232194,0.24560547,0.0313032,0.19335938,0.4472697,0.80164477,257,True,True,True
shot_based,fault_replace_rot,fault,6,4,5,60,2048,SPSA,energy_only,none,0.05,0.01,inf,42,100005,1005,True,48,48,33,33,0.01367188,0.01594419,0.09765625,0.01139576,0.06347656,0.11330623,0.20052701,257,False,True,False
shot_based,fault_replace_rot,fault,7,4,5,60,2048,SPSA,energy_only,none,0.05,0.01,inf,42,100006,1006,True,48,48,33,33,0.03417969,0.04049694,0.14794922,0.02521583,0.13867188,0.1702658,0.37864848,257,False,True,False
shot_based,fault_replace_rot,fault,8,4,5,60,2048,SPSA,energy_only,none,0.05,0.01,inf,42,100007,1007,True,48,48,33,33,0.20898438,0.13087837,0.42285156,0.04349313,0.26074219,0.69906983,1.15369394,257,True,True,True
shot_based,fault_replace_rot,fault,9,4,5,60,2048,SPSA,energy_only,none,0.05,0.01,inf,42,100008,1008,True,48,48,33,33,0.00146484,0.03010624,0.1640625,0.0286661,0.1640625,0.17107423,0.37271624,257,False,True,False
shot_based,fault_replace_rot,fault,10,4,5,60,2048,SPSA,energy_only,none,0.05,0.01,inf,42,100009,1009,True,48,48,33,33,0.13134766,0.09970057,0.44091797,0.05820996,0.42773438,1.09401686,1.70191836,257,True,True,True
shot_based,fault_replace_rot_strong,fault,1,4,5,60,2048,SPSA,energy_only,none,0.05,0.01,inf,42,100000,1000,True,48,47,33,33,0.72900391,0.79537786,1.58642578,0.73819765,1.31933594,2.20310784,3.23289525,257,True,True,True
shot_based,fault_replace_rot_strong,fault,2,4,5,60,2048,SPSA,energy_only,none,0.05,0.01,inf,42,100001,1001,True,48,47,33,33,1.04931641,0.90383329,1.79052734,0.66241336,1.8046875,1.66850779,2.4402136,257,True,True,True
shot_based,fault_replace_rot_strong,fault,3,4,5,60,2048,SPSA,energy_only,none,0.05,0.01,inf,42,100002,1002,True,48,47,33,33,2.03710938,1.99108934,2.58447266,1.51940585,2.23925781,1.93171743,2.94812225,257,True,True,True
shot_based,fault_replace_rot_strong,fault,4,4,5,60,2048,SPSA,energy_only,none,0.05,0.01,inf,42,100003,1003,True,48,47,33,33,0.72607422,0.68313777,1.69287109,0.4269744,1.625,1.94891168,2.76292184,257,True,True,True
shot_based,fault_replace_rot_strong,fault,5,4,5,60,2048,SPSA,energy_only,none,0.05,0.01,inf,42,100004,1004,True,48,47,33,33,1.52832031,1.60997348,2.53613281,1.28667239,2.38867188,1.58819052,2.37719188,257,True,True,True
shot_based,fault_replace_rot_strong,fault,6,4,5,60,2048,SPSA,energy_only,none,0.05,0.01,inf,42,100005,1005,True,48,47,33,33,0.26855469,0.41646781,1.28515625,0.14003222,0.92285156,2.02236993,2.89744719,257,True,True,True
shot_based,fault_replace_rot_strong,fault,7,4,5,60,2048,SPSA,energy_only,none,0.05,0.01,inf,42,100006,1006,True,48,47,33,33,0.65283203,0.63985363,1.60546875,0.43824477,1.5078125,1.72319242,2.45118748,257,True,True,True
shot_based,fault_replace_rot_strong,fault,8,4,5,60,2048,SPSA,energy_only,none,0.05,0.01,inf,42,100007,1007,True,48,47,33,33,0.4921875,0.69213582,1.68798828,0.52956286,1.62695312,1.76588344,2.49100757,257,True,True,True
shot_based,fault_replace_rot_strong,fault,9,4,5,60,2048,SPSA,energy_only,none,0.05,0.01,inf,42,100008,1008,True,48,47,33,33,0.0078125,0.17660582,0.82617188,0.1068139,0.67871094,1.77784883,2.48146709,257,False,True,False
shot_based,fault_replace_rot_strong,fault,10,4,5,60,2048,SPSA,energy_only,none,0.05,0.01,inf,42,100009,1009,True,48,47,33,33,1.52050781,1.52263193,2.28466797,1.19908196,2.00488281,1.90323472,2.70549298,257,True,True,True
shot_based,fault_shift_param,fault,1,4,5,60,2048,SPSA,energy_only,none,0.05,0.01,inf,42,100000,1000,True,48,48,33,33,0.35791016,0.29494467,0.70947266,0.19344677,0.56445312,0.80664667,1.25229471,257,True,True,True
