relation,type,run,num_qubits,reps,maxiter,source_num_parameters,follow_num_parameters,source_depth,follow_depth,delta_E,avg_energy_diff,max_energy_diff,avg_sym_diff,max_sym_diff,avg_param_diff,max_param_diff,trace_len,violation
barrier,valid,20,6,3,160,48,48,29,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
barrier,valid,21,6,3,160,48,48,29,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
barrier,valid,22,6,3,160,48,48,29,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
barrier,valid,23,6,3,160,48,48,29,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
barrier,valid,24,6,3,160,48,48,29,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
barrier,valid,25,6,3,160,48,48,29,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
barrier,valid,26,6,3,160,48,48,29,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
barrier,valid,27,6,3,160,48,48,29,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
barrier,valid,28,6,3,160,48,48,29,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
barrier,valid,29,6,3,160,48,48,29,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
barrier,valid,30,6,3,160,48,48,29,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
identity_xx,valid,1,6,3,160,48,48,29,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
identity_xx,valid,2,6,3,160,48,48,29,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
identity_xx,valid,3,6,3,160,48,48,29,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
identity_xx,valid,4,6,3,160,48,48,29,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
identity_xx,valid,5,6,3,160,48,48,29,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
identity_xx,valid,6,6,3,160,48,48,29,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
identity_xx,valid,7,6,3,160,48,48,29,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
identity_xx,valid,8,6,3,160,48,48,29,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
identity_xx,valid,9,6,3,160,48,48,29,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
identity_xx,valid,10,6,3,160,48,48,29,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
identity_xx,valid,11,6,3,160,48,48,29,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
identity_xx,valid,12,6,3,160,48,48,29,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
identity_xx,valid,13,6,3,160,48,48,29,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
identity_xx,valid,14,6,3,160,48,48,29,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
identity_xx,valid,15,6,3,160,48,48,29,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
identity_xx,valid,16,6,3,160,48,48,29,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
identity_xx,valid,17,6,3,160,48,48,29,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
identity_xx,valid,18,6,3,160,48,48,29,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
identity_xx,valid,19,6,3,160,48,48,29,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
identity_xx,valid,20,6,3,160,48,48,29,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
identity_xx,valid,21,6,3,160,48,48,29,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
identity_xx,valid,22,6,3,160,48,48,29,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
identity_xx,valid,23,6,3,160,48,48,29,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
identity_xx,valid,24,6,3,160,48,48,29,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
identity_xx,valid,25,6,3,160,48,48,29,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
identity_xx,valid,26,6,3,160,48,48,29,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
identity_xx,valid,27,6,3,160,48,48,29,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
identity_xx,valid,28,6,3,160,48,48,29,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
identity_xx,valid,29,6,3,160,48,48,29,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
identity_xx,valid,30,6,3,160,48,48,29,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,False
fault_x,fault,1,6,3,160,48,48,29,30,1.19914156,1.59880301,3.96692631,1.69014343,3.96589927,3.97139227,5.54184734,160,True
fault_x,fault,2,6,3,160,48,48,29,29,0.04419853,0.50538669,1.986816,0.60407679,1.98359448,3.7662327,4.99636731,160,True
fault_x,fault,3,6,3,160,48,48,29,29,0.01268982,0.72978673,1.96739436,0.93671668,1.96540594,3.52600348,5.53742038,160,True
fault_x,fault,4,6,3,160,48,48,29,30,0.47853436,1.12870439,3.93513469,1.25183241,3.9472488,3.47131126,5.21401383,160,True
