test_id,relation,type,tvd,p_value,violation,expected_violation
20,fault_add_x,fault,0.0086,0.1902,False,True
20,fault_remove_random,fault,0.4996,0.0,True,True
20,fault_change_target_qubit,fault,0.0072,0.3839,False,True
21,identity,valid,0.0009,0.865,False,
21,barrier,valid,0.0009,0.865,False,
21,commute,valid,0.0004,0.9442,False,
21,fault_add_x,fault,0.0043,0.4009,False,True
21,fault_remove_random,fault,0.5001,0.0,True,True
21,fault_change_target_qubit,fault,0.7502,0.0,True,True
22,identity,valid,0.0039,0.4413,False,
22,barrier,valid,0.0028,0.5755,False,
22,commute,valid,0.0001,0.992,False,
22,fault_add_x,fault,1.0,0.0,True,True
22,fault_remove_random,fault,1.0,0.0,True,True
22,fault_change_target_qubit,fault,0.7555,0.0,True,True
23,identity,valid,0.0024,0.6384,False,
23,barrier,valid,0.0034,0.5029,False,
23,commute,valid,0.0075,0.1336,False,
23,fault_add_x,fault,1.0,0.0,True,True
23,fault_remove_random,fault,1.0,0.0,True,True
23,fault_change_target_qubit,fault,0.0006,0.9203,False,True
24,identity,valid,0.0053,0.6782,False,
24,barrier,valid,0.0078,0.4854,False,
24,commute,valid,0.0098,0.1643,False,
24,fault_add_x,fault,0.0075,0.363,False,True
24,fault_remove_random,fault,0.5058,0.0,True,True
24,fault_change_target_qubit,fault,1.0,0.0,True,True
25,identity,valid,0.0118,0.3002,False,
25,barrier,valid,0.0054,0.9777,False,
25,commute,valid,0.0103,0.5451,False,
25,fault_add_x,fault,0.01,0.6111,False,True
25,fault_remove_random,fault,0.0148,0.1278,False,True
25,fault_change_target_qubit,fault,0.5045,0.0,True,True
26,identity,valid,0.0069,0.9165,False,
26,barrier,valid,0.0095,0.6582,False,
26,commute,valid,0.0079,0.8139,False,
26,fault_add_x,fault,1.0,0.0,True,True
26,fault_remove_random,fault,0.5,0.0,True,True
26,fault_change_target_qubit,fault,0.0063,0.9312,False,True
27,identity,valid,0.0092,0.0688,False,
27,barrier,valid,0.0053,0.2891,False,
27,commute,valid,0.0038,0.4533,False,
27,fault_add_x,fault,1.0,0.0,True,True
27,fault_remove_random,fault,0.0059,0.242,False,True
27,fault_change_target_qubit,fault,0.0066,0.1902,False,True
28,identity,valid,0.0018,0.9772,False,
28,barrier,valid,0.0029,0.9284,False,
28,commute,valid,0.0036,0.8672,False,
28,fault_add_x,fault,0.0055,0.6426,False,True
28,fault_remove_random,fault,0.4983,0.0,True,True
28,fault_change_target_qubit,fault,0.0061,0.5312,False,True
29,identity,valid,0.0072,0.1527,False,
29,barrier,valid,0.0113,0.0244,True,
29,commute,valid,0.0088,0.0819,False,
29,fault_add_x,fault,1.0,0.0,True,True
29,fault_remove_random,fault,0.5,0.0,True,True
29,fault_change_target_qubit,fault,0.748,0.0,True,True
30,identity,valid,0.0102,0.1203,False,
30,barrier,valid,0.0082,0.2534,False,
30,commute,valid,0.0044,0.7754,False,
30,fault_add_x,fault,0.0048,0.7917,False,True
30,fault_remove_random,fault,0.0062,0.6152,False,True
30,fault_change_target_qubit,fault,0.7491,0.0,True,True
31,identity,valid,0.003,0.5485,False,
31,barrier,valid,0.0011,0.8259,False,
31,commute,valid,0.0032,0.5287,False,
31,fault_add_x,fault,1.0,0.0,True,True
31,fault_remove_random,fault,0.4966,0.0,True,True
31,fault_change_target_qubit,fault,1.0,0.0,True,True
32,identity,valid,0.0079,0.8681,False,
32,barrier,valid,0.0074,0.7823,False,
32,commute,valid,0.0127,0.1904,False,
32,fault_add_x,fault,0.0162,0.0902,False,True
32,fault_remove_random,fault,0.014,0.098,False,True
32,fault_change_target_qubit,fault,0.7483,0.0,True,True
33,identity,valid,0.005,0.3271,False,
33,barrier,valid,0.0038,0.4472,False,
33,commute,valid,0.0062,0.2187,False,
33,fault_add_x,fault,1.0,0.0,True,True
33,fault_remove_random,fault,0.5049,0.0,True,True
33,fault_change_target_qubit,fault,0.0003,0.9681,False,True
34,identity,valid,0.0049,0.7788,False,
34,barrier,valid,0.012,0.0272,True,
34,commute,valid,0.0077,0.3716,False,
34,fault_add_x,fault,1.0,0.0,True,True
34,fault_remove_random,fault,0.5021,0.0,True,True
34,fault_change_target_qubit,fault,0.003,0.8826,False,True
35,identity,valid,0.0,1.0,False,
35,barrier,valid,0.0,1.0,False,
35,commute,valid,0.0,1.0,False,
35,fault_add_x,fault,1.0,0.0,True,True
35,fault_remove_random,fault,0.5009,0.0,True,True
35,fault_change_target_qubit,fault,0.0,1.0,False,True
36,identity,valid,0.0096,0.6652,False,
36,barrier,valid,0.0074,0.8291,False,
36,commute,valid,0.0138,0.1661,False,
36,fault_add_x,fault,0.0083,0.7904,False,True
36,fault_remove_random,fault,1.0,0.0,True,True
36,fault_change_target_qubit,fault,1.0,0.0,True,True
37,identity,valid,0.0053,0.7043,False,
37,barrier,valid,0.0045,0.714,False,
37,commute,valid,0.0054,0.6516,False,
37,fault_add_x,fault,0.0038,0.8926,False,True
37,fault_remove_random,fault,0.0017,0.9843,False,True
37,fault_change_target_qubit,fault,0.0024,0.9625,False,True
38,identity,valid,0.0157,0.0513,False,
38,barrier,valid,0.01,0.545,False,
38,commute,valid,0.0106,0.4297,False,
38,fault_add_x,fault,1.0,0.0,True,True
38,fault_remove_random,fault,0.5014,0.0,True,True
38,fault_change_target_qubit,fault,0.0105,0.5802,False,True
39,identity,valid,0.0026,0.9554,False,
39,barrier,valid,0.0056,0.5742,False,
39,commute,valid,0.0048,0.756,False,
39,fault_add_x,fault,0.0066,0.6272,False,True
39,fault_remove_random,fault,0.5035,0.0,True,True
39,fault_change_target_qubit,fault,0.502,0.0,True,True
40,identity,valid,0.0069,0.5661,False,
40,barrier,valid,0.0071,0.4196,False,
40,commute,valid,0.0055,0.6704,False,
40,fault_add_x,fault,0.0089,0.3269,False,True
40,fault_remove_random,fault,0.499,0.0,True,True
40,fault_change_target_qubit,fault,1.0,0.0,True,True
41,identity,valid,0.0013,0.8103,False,
41,barrier,valid,0.0087,0.0854,False,
41,commute,valid,0.0013,0.8103,False,
41,fault_add_x,fault,1.0,0.0,True,True
