phase,relation,type,run,num_qubits,reps,maxiter,shots,optimizer,oracle_variant,noise_model,one_qubit_error_rate,two_qubit_error_rate,readout_error_rate,include_thermal,energy_threshold,symmetry_threshold,param_threshold,random_seed,pair_seed,transform_seed,hamiltonian_symmetry_commute,source_num_parameters,follow_num_parameters,source_depth,follow_depth,delta_E,avg_energy_diff,max_energy_diff,avg_sym_diff,max_sym_diff,avg_param_diff,max_param_diff,trace_len,energy_violation,symmetry_violation,violation
noisy_shot_based,barrier,valid,9,4,5,60,2048,SPSA,deltaE_or_avgSym,depolarizing_readout,0.001,0.01,0.02,False,0.1,0.05,inf,42,300008,2008,True,48,48,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257,False,False,False
noisy_shot_based,barrier,valid,10,4,5,60,2048,SPSA,deltaE_or_avgSym,depolarizing_readout,0.001,0.01,0.02,False,0.1,0.05,inf,42,300009,2009,True,48,48,33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257,False,False,False
noisy_shot_based,identity_xx,valid,1,4,5,60,2048,SPSA,deltaE_or_avgSym,depolarizing_readout,0.001,0.01,0.02,False,0.1,0.05,inf,42,300000,2000,True,48,48,33,33,0.01269531,0.00495121,0.03173828,0.00422544,0.02539062,0.04193229,0.11243982,257,False,False,False
noisy_shot_based,identity_xx,valid,2,4,5,60,2048,SPSA,deltaE_or_avgSym,depolarizing_readout,0.001,0.01,0.02,False,0.1,0.05,inf,42,300001,2001,True,48,48,33,33,0.02880859,0.01334319,0.078125,0.00818869,0.04882812,0.09327095,0.28863267,257,False,False,False
noisy_shot_based,identity_xx,valid,3,4,5,60,2048,SPSA,deltaE_or_avgSym,depolarizing_readout,0.001,0.01,0.02,False,0.1,0.05,inf,42,300002,2002,True,48,48,33,33,0.00976562,0.0156402,0.10009766,0.01176055,0.06738281,0.18922453,0.50367353,257,False,False,False
noisy_shot_based,identity_xx,valid,4,4,5,60,2048,SPSA,deltaE_or_avgSym,depolarizing_readout,0.001,0.01,0.02,False,0.1,0.05,inf,42,300003,2003,True,48,48,33,33,0.00390625,0.00750851,0.05175781,0.00694613,0.05078125,0.05760504,0.1823121,257,False,False,False
noisy_shot_based,identity_xx,valid,5,4,5,60,2048,SPSA,deltaE_or_avgSym,depolarizing_readout,0.001,0.01,0.02,False,0.1,0.05,inf,42,300004,2004,True,48,48,33,33,0.00439453,0.00351487,0.02148438,0.00293729,0.02636719,0.02024557,0.07465267,257,False,False,False
noisy_shot_based,identity_xx,valid,6,4,5,60,2048,SPSA,deltaE_or_avgSym,depolarizing_readout,0.001,0.01,0.02,False,0.1,0.05,inf,42,300005,2005,True,48,48,33,33,0.00488281,0.00758451,0.04736328,0.00708293,0.04101562,0.06029898,0.20134873,257,False,False,False
noisy_shot_based,identity_xx,valid,7,4,5,60,2048,SPSA,deltaE_or_avgSym,depolarizing_readout,0.001,0.01,0.02,False,0.1,0.05,inf,42,300006,2006,True,48,48,33,33,0.0,0.00495881,0.02783203,0.00424064,0.02734375,0.03531876,0.08445902,257,False,False,False
noisy_shot_based,identity_xx,valid,8,4,5,60,2048,SPSA,deltaE_or_avgSym,depolarizing_readout,0.001,0.01,0.02,False,0.1,0.05,inf,42,300007,2007,True,48,48,33,33,0.00292969,0.0209315,0.13867188,0.01980864,0.15136719,0.34212361,0.59417024,257,False,False,False
noisy_shot_based,identity_xx,valid,9,4,5,60,2048,SPSA,deltaE_or_avgSym,depolarizing_readout,0.001,0.01,0.02,False,0.1,0.05,inf,42,300008,2008,True,48,48,33,33,0.00195312,0.0079417,0.05957031,0.00606457,0.04199219,0.07137075,0.19083413,257,False,False,False
noisy_shot_based,identity_xx,valid,10,4,5,60,2048,SPSA,deltaE_or_avgSym,depolarizing_readout,0.001,0.01,0.02,False,0.1,0.05,inf,42,300009,2009,True,48,48,33,33,0.04394531,0.02947167,0.1953125,0.0209182,0.14355469,0.29696646,0.90124792,257,False,False,False
